Fileid,hed_,het,het_,häd_,hät,hät_
1007,0.0,0.095092,0.901841,0.0,0.0,0.0
1008,0.10119,0.0,0.72619,0.0,0.0,0.154762
1044,0.596491,0.0,0.388889,0.0,0.0,0.0
1048,0.0,0.0,0.0,0.0,0.0745455,0.918182
1053,0.0,0.0,0.872458,0.0,0.0,0.118299
1055,0.0,0.0,0.114583,0.0,0.0,0.848958
1063,0.0,0.079602,0.701493,0.0,0.0,0.199005
1073,0.0,0.0,0.986111,0.0,0.0,0.0
1075,0.0,0.0,0.0,0.0,0.0,1.0
1082,0.0,0.0,0.0,0.0,0.0,0.985714
1083,0.0,0.0,0.0,0.0,0.0,0.985994
1087,0.0,0.0,0.0,0.0,0.0,0.957447
1121,0.0,0.0,0.987342,0.0,0.0,0.0
1138,0.454545,0.0,0.424242,0.0,0.0,0.121212
1142,0.0,0.102273,0.837121,0.0,0.0,0.0530303
1143,0.0,0.0,0.0,0.0,0.0625,0.914352
1147,0.0,0.0,0.624473,0.0,0.0,0.367089
1163,0.0581162,0.0,0.827655,0.0,0.0,0.114228
1170,0.0,0.0,0.97541,0.0,0.0,0.0
1188,0.0,0.0,0.0,0.069869,0.0,0.882096
1189,0.0,0.0,0.0510204,0.0,0.0,0.905612
1195,0.0,0.0,0.892857,0.0,0.0,0.107143
1198,0.0,0.0,0.050505,0.0,0.0656566,0.876263
1203,0.209449,0.0,0.738583,0.0,0.0,0.0503937
1205,0.0,0.0,0.0678295,0.0,0.0,0.932171
1207,0.0,0.0,0.0,0.0,0.0,0.960352
1209,0.0,0.0,0.96875,0.0,0.0,0.0
1212,0.0,0.0,0.0,0.0,0.119149,0.825532
1215,0.0,0.0,0.970356,0.0,0.0,0.0
1224,0.274138,0.0,0.696552,0.0,0.0,0.0
1225,0.0,0.0,0.0729927,0.0,0.0,0.927007
1228,0.0,0.0,0.131737,0.0,0.0,0.868263
1235,0.25,0.0,0.647436,0.0,0.0,0.0833333
1240,0.0,0.0,0.982143,0.0,0.0,0.0
1244,0.0,0.0,0.0,0.0,0.0,0.966527
1248,0.0,0.0,0.318713,0.0,0.0,0.669591
1255,0.0,0.0,0.916667,0.0,0.0,0.0580808
1259,0.0,0.0,0.133183,0.0,0.0,0.866817
1261,0.0,0.0,0.980822,0.0,0.0,0.0
1263,0.613636,0.0,0.322727,0.0,0.0,0.0590909
1270,0.0,0.0,0.0,0.0,0.061144,0.934911
1295,0.0,0.0,0.0617284,0.0,0.0,0.938272
1300,0.0,0.0,0.0,0.0,0.0,0.96124
