Fileid,i,o,u,ue,ö,ü,üe
1007,0.101003,0.0501433,0.611032,0.0866762,0.0,0.103152,0.0
1008,0.0,0.0,0.793388,0.0,0.0,0.0867769,0.0
1044,0.0882092,0.0,0.719858,0.0,0.0,0.0820035,0.0
1048,0.0,0.0816327,0.744023,0.0588921,0.0,0.0553936,0.0
1053,0.162916,0.0,0.708904,0.0782779,0.0,0.0,0.0
1055,0.0,0.0,0.80603,0.0763819,0.0,0.0773869,0.0
1063,0.0,0.362559,0.436019,0.0616114,0.0,0.0,0.0
1073,0.0,0.0,0.781316,0.0530786,0.0,0.0578556,0.0
1075,0.0,0.15677,0.561362,0.0673001,0.0,0.0704671,0.0
1082,0.0,0.0,0.755948,0.0,0.0,0.0720598,0.0
1083,0.0,0.0,0.78717,0.0,0.0,0.0649057,0.0
1087,0.0,0.0,0.73581,0.0722394,0.0,0.0835913,0.0
1121,0.0,0.0,0.787212,0.0534591,0.0,0.0922432,0.0
1138,0.0,0.0,0.766881,0.0723473,0.0,0.0819936,0.0
1142,0.0,0.0863388,0.708197,0.0,0.0,0.0,0.0
1143,0.0,0.0,0.733447,0.0542503,0.0,0.0973943,0.0
1147,0.0,0.387663,0.391748,0.0535131,0.0,0.0543301,0.0
1163,0.0,0.0,0.777546,0.0,0.0,0.106611,0.0
1170,0.0,0.0,0.774353,0.0567201,0.0,0.0567201,0.0
1188,0.0,0.0,0.77557,0.0610743,0.0,0.0853569,0.0
1189,0.0639417,0.0,0.746661,0.0,0.0,0.0683934,0.0
1195,0.0,0.218208,0.463873,0.102601,0.0570809,0.0751445,0.0
1198,0.0,0.0,0.802315,0.0597222,0.0,0.0787037,0.0
1203,0.0,0.0,0.763644,0.0743838,0.0,0.0981514,0.0
1205,0.0,0.0,0.73796,0.0559296,0.0,0.143967,0.0
1207,0.0,0.0,0.694467,0.0693642,0.0,0.111478,0.0
1209,0.0,0.0,0.789519,0.0,0.0,0.0713058,0.0
1212,0.0777577,0.120253,0.513562,0.0,0.0,0.177215,0.0605787
1215,0.0,0.0,0.796209,0.0,0.0,0.0922016,0.0
1224,0.0,0.0,0.743972,0.0547264,0.0,0.0864906,0.0
1225,0.0,0.0,0.828164,0.0695725,0.0,0.0561609,0.0
1228,0.0756516,0.0,0.741894,0.0,0.0,0.104895,0.0
1235,0.0,0.0,0.812424,0.0645554,0.0,0.0706456,0.0
1240,0.0692521,0.0,0.66205,0.0554017,0.0,0.180055,0.0
1244,0.0732364,0.0,0.768444,0.0522348,0.0,0.0560043,0.0
1248,0.0,0.0,0.787455,0.0,0.0,0.0891654,0.0
1255,0.0698925,0.0,0.759601,0.0576037,0.0,0.0,0.0
1259,0.0,0.0,0.756527,0.0510018,0.0,0.0725562,0.0
1261,0.0,0.368388,0.413639,0.0681963,0.0,0.0828553,0.0
1263,0.0737705,0.0,0.758569,0.0611028,0.0,0.052161,0.0
1270,0.0,0.0,0.766198,0.0507476,0.0,0.0888083,0.0
1295,0.0,0.0,0.780717,0.0503413,0.0,0.12116,0.0
1300,0.0,0.0,0.828899,0.0523946,0.0,0.0609906,0.0
